velikost_zamestnancu	pravni_forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
1-5	s.r.o.	19982062	Servis-Říha s.r.o.	Výroba konstrukčních kovových výrobků; Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Instalace rozvodů vody, odpadu, topení a klimatizace; Instalace průmyslových strojů a zařízení; Výroba surového železa, oceli a feroslitin; Výroba pryžových a plastových výrobků; Výroba strojů a zařízení j. n.; Technické zkoušky a analýzy; Výroba nožířských výrobků, nástrojů a železářských výrobků; Opravy a údržba přístrojů a zařízení převážně pro domácnost, dům a zahradu; Nespecializovaný maloobchod; Velkoobchod; Silniční nákladní doprava; Výroba kovových výrobků, kromě strojů a zařízení; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Opravy a údržba výrobků pro osobní potřebu a převážně pro domácnost; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Opravy a údržba kovových výrobků, strojů a zařízení; Počítačové programování, poradenství a související činnosti; Ostatní zpracovatelský průmysl; Příprava staveniště	aktivní	ano	2023	Nové Město pod Smrkem	46365	Lukáš Říha	251;16100;43220;33200;241;22;28;71209;256;95220;471;46;49410;257;00;952;772;331;620;32;43120	Liberec	2023-12-04
neuv.	s.r.o.	21420734	Luboš Jelínek - instalace s.r.o.	Opravy, údržba a instalace strojů a zařízení; Inženýrské činnosti a související technické poradenství; Velkoobchod; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Příprava staveniště; Technické zkoušky a analýzy; Instalace rozvodů vody, odpadu, topení a klimatizace; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ano	2024	Nové Město pod Smrkem	46365	Luboš Jelínek	33;7112;46;471;6820;43120;71209;43220;00	Liberec	2024-04-02
6-9	s.r.o.	22580921	J-business s.r.o.	Poskytování stravování v restauracích, u stánků a mobilních zařízení; Nespecializovaný velkoobchod; Nespecializovaný maloobchod	aktivní	ne	2025	Nové Město pod Smrkem	46365	Oliver Balážik; Martin Bukovský	56100;46900;471	Liberec	2025-02-12
1-5	s.r.o.	22774203	UNITAS s.r.o.	Destilace, rektifikace a míchaní lihovin; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ubytování v hotelích a podobných ubytovacích zařízeních; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Činnosti cestovních agentur; Jiné vzdělávání j. n.; Umělecká tvorba a činnosti v oblasti scénických umění; Činnosti v oblasti sportu j. n.	aktivní	ano	2012	Nové Město pod Smrkem	46365	Jan Selnekovič	11010;461;46900;471;55109;56100;77290;79110;85599;90020;93190	Liberec	2012-03-27
1-5	s.r.o.	22799141	MĚDĚNEC s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Poskytování stravování v restauracích, u stánků a mobilních zařízení	aktivní	ano	2012	Nové Město pod Smrkem	46365	Lukáš Vorel	00;016;461;46900;471;56100	Liberec	2012-10-19
6-9	s.r.o.	24277657	Franzesruh s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba elektronických součástek; Výroba měřicích, zkušebních a navigačních přístrojů; Výroba elektrických zařízení; Příprava staveniště; Počítačové programování, poradenství a související činnosti; Pronájem a správa vlastních nebo pronajatých nemovitostí; Inženýrské činnosti a související technické poradenství; Technické zkoušky a analýzy; Úklidové činnosti	aktivní	ano	2012	Nové Město pod Smrkem	46365	Tereza Engler; Karsten Klaus Engler	00;26110;26510;27;43120;620;6820;7112;71209;812	Liberec	2012-10-03
neuv.	s.r.o.	24409227	URBANTREES s.r.o.	Pronájem a správa vlastních nebo pronajatých nemovitostí; Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Pěstování lesa a jiné činnosti v oblasti lesnictví; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Příprava staveniště	aktivní	ano	2026	Nové Město pod Smrkem	46365	Aneta Homolková	6820;16100;016;02100;00;43120	Liberec	2026-01-22
neuv.	s.r.o.	24647101	Betonárna Andr s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Velkoobchod; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Pronájem a správa vlastních nebo pronajatých nemovitostí; Skladování a podpůrné činnosti pro dopravu; Výroba betonu připraveného k lití; Maloobchod; Příprava staveniště	aktivní	ano	2026	Nové Město pod Smrkem	46365	Michal Andr; Lukáš Andr	00;46;77290;6820;52;23630;47;43120	Liberec	2026-03-18
500-999	s.r.o.	25024698	CiS systems s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba elektrického a elektronického zařízení pro motorová vozidla; Kompletační a dokončovací stavební práce; Úklidové činnosti; Maloobchod; Velkoobchod	aktivní	ano	1997	Nové Město pod Smrkem	46365	Axel Vornhagen	00;29310;433;81290;47;46	Liberec	1997-08-29
neuv.	s.r.o.	25403184	DESERT, s.r.o.	Nespecializovaný maloobchod; Ubytování v hotelích a podobných ubytovacích zařízeních	aktivní	ne	1999	Nové Město pod Smrkem	46365	Jan Svoboda	471;5510	Liberec	1999-06-03
1-5	s.r.o.	25412744	Teplárenská novoměstská s.r.o.	Výroba, přenos a distribuce elektřiny; Dodávání páry a klimatizovaného vzduchu; Maloobchod s ostatním novým zbožím	aktivní	ano	2000	Nové Město pod Smrkem	46365	Dana Zemanová	351;3530;47789	Liberec	2000-01-25
neuv.	s.r.o.	25422961	CAT electronics s.r.o.	Ostatní zpracovatelský průmysl	aktivní	ne	2000	Nové Město pod Smrkem	46365	Peter M.R. Wöllner; Doris Adelgunde Maria Wöllner	32	Liberec	2000-11-13
6-9	s.r.o.	25433415	LOBELICH s.r.o.	Ubytování v hotelích a podobných ubytovacích zařízeních; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Zprostředkování v oblasti nemovitostí	aktivní	ano	2001	Nové Město pod Smrkem	46365	Peter Michael Robert Wöllner; Doris Adelgunde Maria Wöllner	55109;56100;68310	Liberec	2001-08-06
6-9	s.r.o.	25479946	KVAPRO spol. s r.o.	Výroba betonových, cementových a sádrových výrobků; Výroba kovových konstrukcí a jejich dílů; Výroba nožířských výrobků, nástrojů a železářských výrobků; Sběr odpadů, zpracování odpadů k dalšímu využití a odstraňování odpadů; Výstavba bytových a nebytových budov; Demolice a příprava staveniště; Kompletační a dokončovací stavební práce; Nespecializovaný velkoobchod; Maloobchod s ostatním novým zbožím; Ostatní odborné, vědecké a technické činnosti	aktivní	ano	2003	Nové Město pod Smrkem	46365	Jana Kvapilová; Daniel Kopecký	236;25110;256;38;4120;431;433;46900;4778;74	Liberec	2003-12-08
20-24	s.r.o.	26424754	VS-ELEKTRON spol. s r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba elektronických součástek; Výroba komunikačních zařízení; Výroba elektrických motorů, generátorů a transformátorů; Opravy a údržba elektrických zařízení; Výstavba bytových a nebytových budov; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Silniční nákladní doprava; Poskytování ubytování; Pronájem a správa vlastních nebo pronajatých nemovitostí; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2001	Nové Město pod Smrkem	46365	Karel Suk; Lukáš Suk	00;26110;26300;27110;33140;4120;46900;471;49410;55;6820;772	Liberec	2001-01-05
neuv.	s.r.o.	28675649	Vareza CZ, s.r.o.	Konečná úprava textilií; Zprostředkování v oblasti velkoobchodu za provizi; Ubytování v hotelích a podobných ubytovacích zařízeních; Účetnické a auditorské činnosti; daňové poradenství; Ostatní odborné, vědecké a technické činnosti; Překladatelské a tlumočnické činnosti	aktivní	ne	2008	Nové Město pod Smrkem	46365	Hana Řezáčová	13300;461;55109;69200;74;74300	Liberec	2008-10-22
1-5	s.r.o.	28690583	EKOPLAST CZ, s.r.o.	Kompletační a dokončovací stavební práce; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí; Příprava staveniště; Maloobchod; Velkoobchod	aktivní	ano	2009	Nové Město pod Smrkem	46365	Pavel Dostalík	433;00;6820;43120;47;46	Liberec	2009-02-21
1-5	s.r.o.	29057701	KV&GS s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí; Poskytování osobních služeb	aktivní	ano	2010	Nové Město pod Smrkem	46365	Vasyl Kalynyč	00;6820;96040	Liberec	2010-04-07
neuv.	s.r.o.	41326091	KOŠT spol. s r.o. v likvidaci	Výroba pekařských a cukrářských výrobků, kromě trvanlivých	aktivní	ne	1991			Jan Štrégl	10710		1991-07-05
neuv.	s.r.o.	46713077	LEMA, s.r.o.	Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný maloobchod; Zprostředkování v oblasti nemovitostí; Ostatní činnosti v oblasti nemovitostí na základě smlouvy nebo dohody	aktivní	ne	1992	Nové Město pod Smrkem	46365	Leo Vrzal	45200;471;68310;68320	Liberec	1992-06-29
neuv.	s.r.o.	47283645	MILBE spol. s r.o. v likvidaci	Výstavba bytových a nebytových budov; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný maloobchod	aktivní	ne	1992	Nové Město pod Smrkem	46365	Robert Juřina; Milan Bernkopf; Vlasta Bernkopfová	4120;461;471	Liberec	1992-08-19
6-9	s.r.o.	61325619	VALOR kovoprovoz, spol. s r.o.	Konečná úprava textilií; Výroba oděvů; Výroba ocelových trub, trubek, dutých profilů a souvisejících potrubních tvarovek; Výroba kovových výrobků, kromě strojů a zařízení; Výroba strojů a zařízení j. n.; Instalace průmyslových strojů a zařízení; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Účetnické a auditorské činnosti; daňové poradenství	aktivní	ano	1994	Nové Město pod Smrkem	46365	Martin Zeman	13300;14;24200;257;28;33200;46900;471;69200	Liberec	1994-06-06
