velikost_zamestnancu	pravni_forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
10-19	s.r.o.	27295583	AHA KOMÍN s.r.o.	Výstavba bytových a nebytových budov; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Ostatní odborné, vědecké a technické činnosti; Specializované čištění a úklid budov a průmyslových zařízení	aktivní	ano	2006	Frýdlant	46401	Marek Hauer; Michael Hauer	4120;461;471;4778;74;81220	Liberec	2006-05-25
10-19	s.r.o.	25474421	AUTOMEDIC s.r.o.	Ostatní činnosti související se zdravotní péčí	aktivní	ne	2003	Višňová	46373	Jaromír Kysilka	86909	Liberec	2003-08-22
10-19	s.r.o.	25423185	KRAJNIKOP s.r.o.	Elektroinstalační, instalatérské a ostatní stavebně instalační činnosti; Zprostředkování v oblasti velkoobchodu za provizi; Ostatní odborné, vědecké a technické činnosti	aktivní	ano	2000	Frýdlant	46401	Vasyl Kraynykivskyy	43290;461;74	Liberec	2000-11-22
10-19	s.r.o.	22792741	Bartoš nářadí s.r.o.	Opravy a údržba kovových výrobků, strojů a zařízení; Výstavba bytových a nebytových budov; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ostatní poskytování úvěrů j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2012	Frýdlant	46401	Martin Bartoš	331;4120;461;46900;471;64929;77290	Liberec	2012-04-25
10-19	s.r.o.	22656472	ANBAR Coffee s.r.o.	Nespecializovaný maloobchod; Nespecializovaný velkoobchod; Destilace, rektifikace a míchaní lihovin; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Poskytování ubytování	aktivní	ne	2025	Frýdlant	46331	Štěpán Koníř; David Vodrážka	471;46900;11010;56100;00;55	Liberec	2025-02-26
10-19	s.r.o.	19991703	KLUB INFYNYTY s.r.o.	Výroba nábytku; Výroba pryžových a plastových výrobků; Činnosti reklamních agentur; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Umělecká tvorba a činnosti v oblasti scénických umění; Výroba nožířských výrobků, nástrojů a železářských výrobků; Pronájem a správa vlastních nebo pronajatých nemovitostí; Příprava staveniště; Výroba konstrukčních kovových výrobků	aktivní	ano	2023	Frýdlant	46401	David Dobrík	310;22;73110;00;90020;256;6820;43120;251	Liberec	2023-12-06
10-19	s.r.o.	05839980	TTPH&HH s.r.o.	Maloobchod s oděvy; Poskytování osobních služeb; Velkoobchod; Destilace, rektifikace a míchaní lihovin	aktivní	ano	2017	Frýdlant	46401	Văn Hung Nguyen	47710;96020;46;11010	Liberec	2017-02-22
10-19	s.r.o.	04140338	Somnus Clinic s.r.o.	Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Výroba strojů a zařízení j. n.; Výroba lékařských a dentálních nástrojů a potřeb; Sběr odpadů, kromě nebezpečných; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ubytování v hotelích a podobných ubytovacích zařízeních; Ostatní vydavatelské činnosti, kromě vydávání softwaru; Zprostředkování v oblasti nemovitostí; Technické zkoušky a analýzy; Výzkum a vývoj v oblasti přírodních a technických věd; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Ostatní vzdělávání j. n.; Specializovaná ambulantní zdravotní péče; Umělecká tvorba a činnosti v oblasti scénických umění; Činnosti v oblasti sportu j. n.; Poskytování osobních služeb	aktivní	ne	2015	Liberec	46006	Radomír Minařík	16100;28;32500;38110;461;46900;471;55109;58190;68310;71209;721;731;74909;77290;8559;86220;90020;93190;96090	Liberec	2015-06-04
10-19	s.r.o.	03794199	NORD ENERGO s.r.o.	Výroba nožířských výrobků; Výroba elektronických součástek a desek; Výroba elektrických zařízení; Výroba neelektrických spotřebičů převážně pro domácnost; Výroba strojů a zařízení j. n.; Ostatní zpracovatelský průmysl; Opravy, údržba a instalace strojů a zařízení; Demolice a příprava staveniště; Elektrické instalace; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Počítačové programování, poradenství a související činnosti; Zprostředkování v oblasti nemovitostí; Inženýrské činnosti a související technické poradenství; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Pátrací a bezpečnostní činnosti; Úklidové činnosti; Opravy a údržba přístrojů a zařízení převážně pro domácnost, dům a zahradu; Poskytování osobních služeb	aktivní	ano	2015	Frýdlant	46401	Jarmila Hájková	25610;261;27;27520;28;32;33;431;43210;461;46900;471;620;68310;7112;74909;77290;80200;812;95220;96010	Liberec	2015-02-12
10-19	s.r.o.	02473275	Kotě79 transport s.r.o.	Opravy a údržba motorových vozidel, kromě motocyklů; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Silniční nákladní doprava; Skladování; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2013	Frýdlant	46401	Jan Koťátko; Michaela Kabrhelová	45200;461;46900;471;49410;52100;77290	Liberec	2013-12-20
6-9	s.r.o.	25577395	GOLDIMPEX, s.r.o	Nespecializovaný velkoobchod; Maloobchod s ostatním novým zbožím	aktivní	ano	1999			Milan Tobiška	46900;4778		1999-10-05
6-9	s.r.o.	25463179	Tekülve Spedition und Logistik CZ s.r.o.	Silniční nákladní doprava	aktivní	ano	2003	Frýdlant	46401	Hermann Josef Möllmann	49410	Liberec	2003-02-19
6-9	s.r.o.	25432699	TEPLO Frýdlant s.r.o.	Výroba, přenos a distribuce elektřiny; Dodávání páry a klimatizovaného vzduchu; Instalace rozvodů vody, odpadu, topení a klimatizace	aktivní	ano	2001	Frýdlant	46401	Jaroslav Vančura	351;3530;43220	Liberec	2001-07-18
6-9	s.r.o.	25408500	Valdštejnská lékárna, s.r.o.	Maloobchod s farmaceutickými výrobky	aktivní	ano	1999	Frýdlant	46401	Eduard Dušánek; Lucie Dušánková	47730	Liberec	1999-10-19
6-9	s.r.o.	22799745	LBM Business s.r.o.	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Účetnické a auditorské činnosti; daňové poradenství; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Činnosti cestovních agentur; Obchodování s cennými papíry a komoditami na burzách; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Činnosti v oblasti sportu j. n.; Skladování a podpůrné činnosti pro dopravu; Pronájem a správa vlastních nebo pronajatých nemovitostí; Sběr odpadů, kromě nebezpečných; Poskytování osobních služeb; Ostatní činnosti související se zdravotní péčí; Poskytování osobních služeb	aktivní	ano	2012	Frýdlant	46401	Leoš Brzák; Markéta Brzáková	46900;471;69200;77290;79110;66120;00;56100;93190;52;6820;38110;96020;8690;96040	Liberec	2012-11-07
6-9	s.r.o.	08638799	AR Frýdlantské strojírny s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Činnosti reklamních agentur; Činnosti v oblasti sportu j. n.; Velkoobchod; Poskytování ubytování; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Maloobchod; Destilace, rektifikace a míchaní lihovin	aktivní	ano	2019	Frýdlant	46401	Ladislav Rasl; Jan Rasl	00;73110;93190;46;55;56100;47;11010	Liberec	2019-10-24
6-9	s.r.o.	06912893	ordinace-frydlant.cz, s.r.o.	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Technické zkoušky a analýzy; Ostatní odborné, vědecké a technické činnosti j. n.; Ostatní vzdělávání j. n.; Všeobecná ambulantní zdravotní péče; Poskytování osobních služeb	aktivní	ne	2018	Frýdlant	46401	Šárka Pokorná	46900;471;712;7490;8559;86210;96040	Liberec	2018-03-03
6-9	s.r.o.	06633293	FABRIKOV s.r.o.	Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Výroba kovových konstrukcí a jejich dílů; Výroba strojů a zařízení j. n.; Výroba motorových vozidel; Opravy a údržba motorových vozidel, kromě motocyklů; Maloobchod s použitým zbožím; Inženýrské činnosti a související technické poradenství; Technické zkoušky a analýzy; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Velkoobchod; Instalace průmyslových strojů a zařízení; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Opravy a údržba kovových výrobků, strojů a zařízení; Příprava staveniště; Maloobchod	aktivní	ano	2017	Frýdlant	46401	Štěpánka Janáková; Vladimír Antoni	16100;25110;28;29100;45200;47790;7112;71209;77290;46;332;256;00;331;43120;47	Liberec	2017-11-27
6-9	s.r.o.	06213472	H&Š Celní agentura s.r.o.	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Podpůrné činnosti pro dopravu	aktivní	ano	2017	Frýdlant	46401	Milan Šubrt; Luděk Hnídek	46900;471;52290	Liberec	2017-06-22
6-9	s.r.o.	06160255	Šípek Frýdlant s.r.o.	Destilace, rektifikace a míchaní lihovin; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2017	Frýdlant	46401	Martin Šípek	11010;46900;471;77290	Liberec	2017-06-02
1-5	s.r.o.	64050670	LIMEX-TECHNIK s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný maloobchod	aktivní	ano	1995	Frýdlant	46401	Rudolf Lojek; Tomáš Lojek	461;471	Liberec	1995-11-01
1-5	s.r.o.	44566077	S Y N T A ,  s.r.o.	Výroba nábytku; Kompletační a dokončovací stavební práce; Truhlářské práce; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Zprostředkování v oblasti nemovitostí; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ne	1992	Frýdlant	46401	Kateřina Pokorná	31090;433;43320;461;46900;471;68310;7490;77290	Liberec	1992-03-10
1-5	s.r.o.	28751655	Frýdlantské strojírny - TR, s.r.o.	Výroba brusiv a ostatních nekovových minerálních výrobků j. n.; Výroba konstrukčních kovových výrobků; Výroba nožířských výrobků; Výroba strojů a zařízení j. n.; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ostatní činnosti v oblasti nemovitostí na základě smlouvy nebo dohody; Inženýrské činnosti a související technické poradenství	aktivní	ano	2012	Frýdlant	46401	Jan Rasl	239;251;25610;28;461;46900;471;68320;7112	Liberec	2012-01-03
1-5	s.r.o.	28747895	JALE, s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný maloobchod; Poskytování stravování v restauracích, u stánků a mobilních zařízení	aktivní	ne	2011	Frýdlant	46401	Leoš Horák	461;471;56100	Liberec	2011-10-05
1-5	s.r.o.	28747569	DSL Group s.r.o.	Zpracování a konzervování masa a výroba masných výrobků; Destilace, rektifikace a míchaní lihovin; Výstavba bytových a nebytových budov; Demolice a příprava staveniště; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ostatní pozemní osobní doprava j. n.; Silniční nákladní doprava; Skladování; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Zprostředkování v oblasti nemovitostí	aktivní	ano	2011	Frýdlant	46401	Bohumil Budka; Jiřina Vondráková; Štěpán Budka	101;11010;4120;431;46900;471;4939;49410;52100;56100;68310	Liberec	2011-09-13
1-5	s.r.o.	28715730	SAIMA SECURITY s.r.o.	Velkoobchod s motorovými vozidly, motocykly, jejich díly a příslušenstvím; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Zprostředkování v oblasti velkoobchodu za provizi; Maloobchod; Úklidové činnosti	aktivní	ano	2010	Frýdlant	46401	Radek Blažek	467;00;461;47;812	Liberec	2010-01-04
1-5	s.r.o.	28695828	BENNE s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Sběr odpadů, zpracování odpadů k dalšímu využití a odstraňování odpadů; Výstavba bytových a nebytových budov; Demolice a příprava staveniště; Kompletační a dokončovací stavební práce; Sklenářské, malířské a natěračské práce; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod; Zprostředkování v oblasti nemovitostí; Architektonické a inženýrské činnosti a související technické poradenství; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Úklidové činnosti	aktivní	ano	2009	Frýdlant	46401	Věra Jurkovičová	00;38;4120;431;433;43341;461;46900;47;68310;711;772;812	Liberec	2009-04-01
1-5	s.r.o.	28690672	La Café s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný maloobchod; Ubytování v hotelích a podobných ubytovacích zařízeních; Poskytování stravování v restauracích, u stánků a mobilních zařízení	aktivní	ne	2009	Frýdlant	46401	Michal Zverka	461;471;55109;56100	Liberec	2009-02-10
1-5	s.r.o.	28669118	SILUETA - BAYERS, s.r.o.	Silniční nákladní doprava; Opravy a údržba motorových vozidel, kromě motocyklů; Fotografické činnosti; Poskytování ubytování; Maloobchod s použitým zbožím; Velkoobchod; Poskytování osobních služeb; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Výroba oděvů; Činnosti cestovních agentur; Výroba nožířských výrobků, nástrojů a železářských výrobků; Maloobchod s oděvy; Umělecká tvorba a činnosti v oblasti scénických umění; Činnosti v oblasti sportu j. n.; Instalace rozvodů vody, odpadu, topení a klimatizace; Poskytování osobních služeb; Překladatelské a tlumočnické činnosti; Příprava staveniště; Ostatní vzdělávání	aktivní	ano	2008	Frýdlant	46401	František Bajer; Jana Bajerová	49410;45200;74200;55;47790;46;96090;772;14;79110;256;47710;90020;93190;43220;96010;74300;43120;855	Liberec	2008-07-14
1-5	s.r.o.	27886123	ISCANDER s.r.o.	Počítačové programování, poradenství a související činnosti; Výroba nožířských výrobků, nástrojů a železářských výrobků; Inženýrské činnosti a související technické poradenství; Ostatní zpracovatelský průmysl; Pronájem a správa vlastních nebo pronajatých nemovitostí; Specializované návrhářské činnosti; Úklidové činnosti	aktivní	ne	2007	Frýdlant	46401	Alexandr Babkov; Andrej Babkov	620;256;7112;32;6820;74100;812	Liberec	2007-04-13
1-5	s.r.o.	27350380	Václav Albrecht, s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Ostatní odborné, vědecké a technické činnosti	aktivní	ano	2008	Frýdlant	46401	Václav Albrecht	461;47;6820;74	Liberec	2008-02-25
1-5	s.r.o.	27322041	ALPECO s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba strojů a zařízení j. n.; Příprava staveniště; Instalace rozvodů vody, odpadu, topení a klimatizace; Nespecializovaný velkoobchod; Nespecializovaný maloobchod	aktivní	ano	2007	Frýdlant	46401	Marian Horňak	00;28;43120;43220;46900;471	Liberec	2007-06-05
1-5	s.r.o.	27297225	QUALISOFT s.r.o.	Výroba pryžových výrobků; Výroba plastových výrobků; Výroba ostatních strojů pro speciální účely j. n.; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Architektonické a inženýrské činnosti a související technické poradenství; Ostatní odborné, vědecké a technické činnosti; Balicí činnosti	aktivní	ano	2006	Frýdlant	46401	Gabriela Coufalová	221;222;28990;461;46900;471;4778;711;74;82920	Liberec	2006-06-14
1-5	s.r.o.	27261492	STAVEBNINY ŽILKA s.r.o.	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s ostatním novým zbožím; Účetnické a auditorské činnosti; daňové poradenství; Architektonické a inženýrské činnosti a související technické poradenství	aktivní	ano	2005	Frýdlant	46401	Jitka Rymplerová; Bronislav Žilka; Ondřej Žilka	46900;471;4778;69200;711	Liberec	2005-01-04
1-5	s.r.o.	25479571	Liberecká lékárna s.r.o.	Maloobchod s farmaceutickými výrobky; Maloobchod s ostatním novým zbožím; Výroba lékařských a dentálních nástrojů a potřeb	aktivní	ano	2003	Frýdlant	46401	Karel Slezák	47730;4778;32500	Liberec	2003-12-23
1-5	s.r.o.	25456172	Nábytek Louda spol. s r.o.	Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Výroba ostatních výrobků stavebního truhlářství a tesařství; Nespecializovaný velkoobchod; Maloobchod s ostatním novým zbožím	aktivní	ano	2002	Frýdlant	46401	Miroslav Louda	16100;16230;46900;4778	Liberec	2002-11-20
1-5	s.r.o.	25427431	Explomax s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba ostatních potravinářských výrobků j. n.; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ostatní pozemní osobní doprava j. n.; Silniční nákladní doprava; Skladování a podpůrné činnosti pro dopravu; Poskytování osobních služeb	aktivní	ano	2001	Frýdlant	46401	Jan Filo	00;10890;46900;471;49399;49410;52;96040	Liberec	2001-03-05
1-5	s.r.o.	25410032	AUTO VOJÁČEK s.r.o.	Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný maloobchod	aktivní	ano	1999	Frýdlant	46401	Bedřich Vojáček; Kateřina Vojáčková	45200;471	Liberec	1999-11-22
1-5	s.r.o.	25047507	ČEFOS s.r.o.	Skládkování nebo trvalé uložení odpadů; Nespecializovaný maloobchod; Nespecializovaný velkoobchod; Sběr nebezpečných odpadů	aktivní	ano	1999	Frýdlant	46401	Jaroslav Kopecký; Roman Kaprálek	38320;471;46900;38120	Liberec	1999-01-27
1-5	s.r.o.	25047124	FONOGRAFIK s.r.o.	Počítačové programování, poradenství a související činnosti; Ostatní odborné, vědecké a technické činnosti	aktivní	ano	1999	Frýdlant	46401	Radek Michalko	620;74	Liberec	1999-01-12
1-5	s.r.o.	25030795	TOBIS, s.r.o.	Výstavba bytových a nebytových budov; Elektroinstalační, instalatérské a ostatní stavebně instalační činnosti; Instalace rozvodů vody, odpadu, topení a klimatizace; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Nespecializovaný maloobchod; Nespecializovaný velkoobchod; Instalace průmyslových strojů a zařízení	aktivní	ano	1998	Frýdlant	46401	Martin Tobiška	4120;432;43220;016;471;46900;33200	Liberec	1998-01-12
1-5	s.r.o.	25013092	ALCARA s.r.o.	Výroba rafinovaných ropných produktů a produktů z fosilních paliv; Výroba ostatních chemických výrobků j. n.; Odstraňování odpadů bez dalšího využití; Zprostředkování v oblasti velkoobchodu za provizi; Velkoobchod s motorovými vozidly; Nespecializovaný maloobchod	aktivní	ano	1996	Frýdlant	46401	Aleš Zajíc; Robert Juřina; Karel Šoltys	19200;2059;383;461;4671;471	Liberec	1996-12-11
1-5	s.r.o.	25003763	SEDCER s.r.o.	Destilace, rektifikace a míchaní lihovin; Výstavba bytových a nebytových budov; Poskytování stravování v restauracích, u stánků a mobilních zařízení	aktivní	ano	1996	Frýdlant	46401	Ladislav Severýn	11010;4120;561	Liberec	1996-05-24
1-5	s.r.o.	25003593	AH DENT s.r.o.	Výroba lékařských a dentálních nástrojů a potřeb; Nespecializovaný maloobchod	aktivní	ne	1996	Holice	53401	Alena Hejcmanová; Jan Hejcman	32500;471	Pardubice	1996-05-14
1-5	s.r.o.	24364134	D&K Accountancy s.r.o.	Účetnické a auditorské činnosti; daňové poradenství; Činnosti reklamních agentur; Počítačové programování, poradenství a související činnosti; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Administrativní a kancelářské činnosti	aktivní	ano	2026	Frýdlant	46401	Marek Koutecký	69200;73110;620;00;82110	Liberec	2026-01-16
1-5	s.r.o.	21521417	Medikop-Frýdlant s.r.o.	Velkoobchod; Nespecializovaný maloobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Všeobecná ambulantní zdravotní péče	aktivní	ne	2024	Frýdlant	46401	Dita Kopecká; Luboš Kopecký	46;471;00;86210	Liberec	2024-05-02
1-5	s.r.o.	21469237	JNR UNITED HOLDING, s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí; Administrativní a kancelářské činnosti; Velkoobchod; Nespecializovaný maloobchod; Činnosti reklamních agentur	aktivní	ano	2024	Frýdlant	46401	Jan Rasl	00;6820;82110;46;471;73110	Liberec	2024-04-15
1-5	s.r.o.	14427036	Gradus - F s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Destilace, rektifikace a míchaní lihovin; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Poskytování ubytování; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Činnosti cestovních agentur; Ostatní vzdělávání; Umělecká tvorba a činnosti v oblasti scénických umění	aktivní	ano	2022	Frýdlant	46401	Otto Pavlík	00;016;11010;46900;471;55;56100;772;79110;855;90020	Liberec	2022-04-07
1-5	s.r.o.	14074524	GynLib s.r.o.	Poskytování osobních služeb	aktivní	ne	2021	Frýdlant	46331	Petra Mrázková Líbalová	96090	Liberec	2021-12-17
1-5	s.r.o.	09661182	AHA KOMÍN, VYMETÁNÍ s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Příprava staveniště; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Reklamní činnosti; Specializované čištění a úklid budov a průmyslových zařízení; Administrativní a kancelářské činnosti	aktivní	ne	2020	Frýdlant	46401	Marek Hauer; Michael Hauer	00;43120;46900;471;731;81220;821	Liberec	2020-11-09
1-5	s.r.o.	09644121	Prádelna Frýdlant s.r.o.	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Poskytování osobních služeb	aktivní	ne	2020	Frýdlant	46401	Regina Loudová	46900;471;96010	Liberec	2020-11-02
1-5	s.r.o.	08980292	E-VIT NATURAL s.r.o.	Výroba potravinářských výrobků; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Skladování a podpůrné činnosti pro dopravu; Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ano	2020	Frýdlant	46331	Daniel Krejčí	10;46900;471;52;6820	Liberec	2020-02-24
1-5	s.r.o.	07777779	CHANDI´S - FOOD s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Destilace, rektifikace a míchaní lihovin; Maloobchod s nápoji; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ne	2019	Frýdlant	46401	Parminder Singh; Sukhwinder Kaur	00;11010;4725;56100;6820	Liberec	2019-01-16
1-5	s.r.o.	07692692	ZELFR s.r.o.	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2018	Frýdlant	46401	Jozef Čulaga; Jana Čulagová	46900;471;772	Liberec	2018-12-03
1-5	s.r.o.	07560168	AZZ fyzio s.r.o.	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Výroba lékařských a dentálních nástrojů a potřeb; Ostatní činnosti související se zdravotní péčí; Ostatní vzdělávání; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ne	2018	Frýdlant	46401	Zdeněk Kopal	46900;471;32500;8690;855;00	Liberec	2018-10-17
1-5	s.r.o.	06349498	Premont s.r.o.	Výroba kovových výrobků, kromě strojů a zařízení; Elektrické instalace; Instalace rozvodů vody, odpadu, topení a klimatizace; Pátrací a bezpečnostní činnosti	aktivní	ano	2017	Frýdlant	46401	Jiří Čaban; Petra Čabanová	257;43210;43220;802	Liberec	2017-08-16
1-5	s.r.o.	06068928	Bafre Stavby s.r.o.	Sběr odpadů, kromě nebezpečných; Výstavba bytových a nebytových budov; Demolice a příprava staveniště; Sklenářské, malířské a natěračské práce; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Zprostředkování v oblasti nemovitostí; Inženýrské činnosti a související technické poradenství; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2017	Frýdlant	46401	František Bachtík	38110;4120;431;43341;461;46900;471;47790;68310;7112;74909;77290	Liberec	2017-05-03
1-5	s.r.o.	05908035	Frýdlant Apartments s.r.o.	Výstavba bytových a nebytových budov; Pronájem a správa vlastních nebo pronajatých nemovitostí; Zprostředkování v oblasti nemovitostí	aktivní	ne	2017	Frýdlant	46401	Jiří Sršeň; Radek Brňák	4120;6820;68310	Liberec	2017-03-13
1-5	s.r.o.	05901421	Milan Brzobohatý s.r.o.	Opravy a údržba kovových výrobků, strojů a zařízení; Nespecializovaný velkoobchod; Nespecializovaný maloobchod	aktivní	ano	2017	Frýdlant	46401	Kateřina Brzobohatá; Milan Brzobohatý	331;46900;471	Liberec	2017-03-10
1-5	s.r.o.	04816323	HRPAP Frýdlant s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Ostatní vydavatelské činnosti, kromě vydávání softwaru	aktivní	ne	2016	Frýdlant	46401	Martin Židek	461;46900;471;47790;58190	Liberec	2016-02-16
1-5	s.r.o.	04680090	GWH TOP Frýdlant s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba kovových výrobků, kromě strojů a zařízení; Výstavba bytových a nebytových budov; Elektroinstalační, instalatérské a ostatní stavebně instalační činnosti; Instalace rozvodů vody, odpadu, topení a klimatizace; Pronájem a správa vlastních nebo pronajatých nemovitostí; Specializované čištění a úklid budov a průmyslových zařízení	aktivní	ano	2015	Frýdlant	46401	Stanislav Socha	00;257;4120;432;43220;6820;81220	Liberec	2015-12-30
1-5	s.r.o.	04669339	Geodetická kancelář CYRUS, spol. s r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Zprostředkování v oblasti nemovitostí; Poradenství v oblasti podnikání a řízení podniků; Inženýrské činnosti a související technické poradenství; Inženýrské činnosti a související technické poradenství; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2016	Frýdlant	46401	Roman Cýrus; Hana Cýrusová	461;46900;471;47790;68310;702;7112;71122;77290	Liberec	2016-01-01
1-5	s.r.o.	04668502	JOMI SERVICES s.r.o.	Destilace, rektifikace a míchaní lihovin; Opravy a údržba motorových vozidel, kromě motocyklů; Zprostředkování v oblasti velkoobchodu za provizi; Skladování; Podpůrné činnosti pro dopravu; Poskytování stravování v restauracích, u stánků a mobilních zařízení	aktivní	ano	2015	Frýdlant	46401	Josef Mikyska	11010;45200;461;52100;52290;56100	Liberec	2015-12-22
1-5	s.r.o.	04498607	Arthra s.r.o.	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ostatní odborné, vědecké a technické činnosti j. n.; Specializovaná ambulantní zdravotní péče	aktivní	ne	2015	Mníšek	46331	Jan Hendrych; Veronika Hendrychová	46900;471;74909;86220	Liberec	2015-10-20
