velikost_zamestnancu	pravni_forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
neuv.	s.r.o.	22795570	Čistý domov s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Příprava staveniště; Sklenářské, malířské a natěračské práce; Opravy a údržba přístrojů a zařízení převážně pro domácnost, dům a zahradu; Poskytování osobních služeb; Poskytování osobních služeb; Poskytování osobních služeb	aktivní	ne	2012	Liberec	46312	Jiří Ráliš	00;43120;43341;95220;96010;96040;96090	Liberec	2012-07-03
neuv.	s.r.o.	22795243	BIOSIDE s.r.o.	Výroba elektrických zařízení; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ostatní poskytování úvěrů j. n.; Ostatní činnosti v oblasti nemovitostí na základě smlouvy nebo dohody; Inženýrské činnosti a související technické poradenství; Výzkum a vývoj v oblasti přírodních a technických věd; Ostatní odborné, vědecké a technické činnosti j. n.; Ostatní vzdělávání j. n.	aktivní	ne	2012	Liberec	46007	Jiří Krejčí	27;461;46900;471;64929;68320;7112;721;7490;8559	Liberec	2012-06-18
neuv.	s.r.o.	22795227	MLÝN VESEC s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ostatní poskytování úvěrů j. n.; Zprostředkování v oblasti nemovitostí	aktivní	ne	2012	Liberec	46007	Tomáš Bílek	461;46900;471;64929;68310	Liberec	2012-06-20
neuv.	s.r.o.	22795111	Shaanxi PV (Czech) Industry s.r.o.	Výroba konstrukčních kovových výrobků; Výroba nožířských výrobků, nástrojů a železářských výrobků; Demolice a příprava staveniště; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Skladování; Počítačové programování, poradenství a související činnosti; Zprostředkování v oblasti nemovitostí; Architektonické činnosti; Inženýrské činnosti a související technické poradenství; Technické zkoušky a analýzy; Výzkum a vývoj v oblasti přírodních a technických věd; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Administrativní a kancelářské činnosti	aktivní	ne	2012			Hana Margarethe Palme	251;256;431;461;46900;471;47790;52100;620;68310;71110;7112;71209;721;7490;77290;821		2012-07-30
neuv.	s.r.o.	22795081	LibeTex s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Specializované návrhářské činnosti; Ostatní odborné, vědecké a technické činnosti j. n.	aktivní	ne	2012	Liberec	46008	Vítězslav Šťastný	461;74100;7490	Liberec	2012-06-29
neuv.	s.r.o.	22794972	Bon Group CZ s.r.o.	Výstavba bytových a nebytových budov; Specializované stavební činnosti; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Skladování a podpůrné činnosti pro dopravu; Zprostředkování v oblasti nemovitostí; Architektonické činnosti; Inženýrské činnosti a související technické poradenství; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Administrativní a kancelářské činnosti	aktivní	ne	2012	Liberec	46007	Jiří Plánička	4120;43;461;46900;471;52;68310;71110;7112;731;7490;77290;821	Liberec	2012-06-06
neuv.	s.r.o.	22794743	VITEROM s.r.o., v likvidaci	Podpůrné činnosti pro zemědělství a posklizňové činnosti	aktivní	ne	2012	Liberec	46005	Mykhailo Viter; Oleksandr Viter	016	Liberec	2012-06-06
neuv.	s.r.o.	22794590	GANÉŠA s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ubytování v hotelích a podobných ubytovacích zařízeních; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Zprostředkování v oblasti nemovitostí; Překladatelské a tlumočnické činnosti; Umělecká tvorba a činnosti v oblasti scénických umění	aktivní	ne	2012			Barbora Kubistová	461;46900;471;55109;56100;68310;74300;90020		2012-05-28
neuv.	s.r.o.	22794417	Elite Galleries s.r.o.	Nespecializovaný maloobchod; Podpůrné činnosti pro dopravu; Velkoobchod	aktivní	ano	2012	Liberec	46001	Tomáš Bejvl	471;52290;46	Liberec	2012-05-28
neuv.	s.r.o.	22793747	RBT GROUP s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ne	2012	Liberec	46001	Patrik Rozsíval; Tomáš Tomášek	461;46900;471;77290	Liberec	2012-05-11
neuv.	s.r.o.	22792511	Český WEB s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Počítačové programování, poradenství a související činnosti; Reklamní činnosti	aktivní	ano	2012	Liberec	46008	Michal Houšť	461;620;731	Liberec	2012-03-30
neuv.	s.r.o.	22774327	S-PARK reality spol. s r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Demolice a příprava staveniště; Zprostředkování v oblasti velkoobchodu za provizi; Ubytování v hotelích a podobných ubytovacích zařízeních; Zprostředkování v oblasti nemovitostí; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti j. n.; Administrativní a kancelářské činnosti; Umělecká tvorba a činnosti v oblasti scénických umění	aktivní	ne	2012	Liberec	46007	Kateřina Stará	00;431;461;55109;68310;731;7490;821;90020	Liberec	2012-03-30
neuv.	s.r.o.	22774025	Galaxy Holding s.r.o.	Zprostředkování v oblasti nemovitostí; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Administrativní a kancelářské činnosti; Zprostředkování v oblasti velkoobchodu za provizi; Činnosti webových vyhledávacích portálů	aktivní	ano	2012	Liberec	46007	Milan Bábovka; Martin Dorotka	68310;7490;77290;821;461;63910	Liberec	2012-03-21
neuv.	s.r.o.	22773860	ITEXP s.r.o.	Výroba elektronických součástek a desek; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Počítačové programování, poradenství a související činnosti; Technické zkoušky a analýzy	aktivní	ne	2012			Zdeněk Fibrich	261;461;46900;471;47790;620;71209		2012-03-21
neuv.	s.r.o.	22773819	HOPECO Service s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Zprostředkování v oblasti nemovitostí; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti j. n.; Pátrací a bezpečnostní činnosti; Úklidové činnosti; Administrativní a kancelářské činnosti	aktivní	ano	2012	Liberec	46014	Jan Stránský; Petr Plašil	461;46900;471;68310;731;7490;80100;81290;82110	Liberec	2012-03-12
neuv.	s.r.o.	22773452	GardEx s.r.o.	Podpůrné činnosti pro zemědělství a posklizňové činnosti; Demolice a příprava staveniště; Nespecializovaný velkoobchod; Nespecializovaný maloobchod	aktivní	ne	2012	Liberec	46014	Jan Dvořák	016;431;46900;471	Liberec	2012-02-22
neuv.	s.r.o.	22773355	BUDDY DIVE, s.r.o.	Výroba textilií; Ostatní zpracovatelský průmysl; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ostatní vydavatelské činnosti, kromě vydávání softwaru; Činnosti webových vyhledávacích portálů a ostatní informační činnosti; Zprostředkování v oblasti nemovitostí; Ostatní činnosti v oblasti nemovitostí na základě smlouvy nebo dohody; Reklamní činnosti; Fotografické činnosti; Překladatelské a tlumočnické činnosti; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Činnosti cestovních agentur; Ostatní vzdělávání j. n.; Činnosti v oblasti sportu j. n.	aktivní	ano	2012	Liberec	46015	Michaela Sládková	13;32;461;46900;471;58190;63990;68310;68320;731;74200;74300;7490;77290;79110;8559;93190	Liberec	2012-03-03
neuv.	s.r.o.	22772901	LBC reality s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Ubytování v hotelích a podobných ubytovacích zařízeních; Zprostředkování v oblasti nemovitostí; Inženýrské činnosti a související technické poradenství; Reklamní činnosti; Překladatelské a tlumočnické činnosti	aktivní	ano	2012	Liberec	46007	Klára Biasiol	461;55109;68310;7112;731;74300	Liberec	2012-02-21
neuv.	s.r.o.	22656413	Hotik s.r.o.	Nespecializovaný maloobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Ostatní vzdělávání; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Ostatní odborné, vědecké a technické činnosti j. n.; Nespecializovaný velkoobchod; Umělecká tvorba a činnosti v oblasti scénických umění; Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ne	2025	Liberec	46001	Pavel Hotař	471;00;855;77290;74902;46900;90020;6820	Liberec	2025-02-26
neuv.	s.r.o.	22651446	TP Fusion Technologies s.r.o.	Nespecializovaný velkoobchod; Skladování a podpůrné činnosti pro dopravu; Činnosti reklamních agentur; Opravy, údržba a instalace strojů a zařízení; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný maloobchod; Administrativní a kancelářské činnosti; Opravy a údržba motorových vozidel, kromě motocyklů; Podpůrné činnosti pro dopravu; Překladatelské a tlumočnické činnosti; Pronájem a správa vlastních nebo pronajatých nemovitostí; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2025	Liberec	46008	Tomáš Petr	46900;52;73110;33;00;471;82110;45200;52290;74300;6820;77290	Liberec	2025-02-25
