velikost	forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
1000-1499	a.s.	00012556	PRECIOSA, a.s.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba skla a skleněných výrobků; Velkoobchod s motorovými vozidly, motocykly, jejich díly a příslušenstvím; Účetnické a auditorské činnosti; daňové poradenství; Pronájem a správa vlastních nebo pronajatých nemovitostí; Inženýrské činnosti a související technické poradenství; Umělecká tvorba a činnosti v oblasti scénických umění; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Administrativní a kancelářské činnosti; Přenos elektřiny; Technické zkoušky a analýzy; Činnosti v oblasti sportu j. n.; Výstavba bytových a nebytových budov; Velkoobchod; Podpůrné činnosti pro dopravu; Úklidové činnosti; Instalace průmyslových strojů a zařízení; Ostatní zpracovatelský průmysl; Elektroinstalační, instalatérské a ostatní stavebně instalační činnosti; Příprava staveniště; Výzkum a vývoj; Výzkum a vývoj v oblasti přírodních a technických věd; Ostatní vzdělávání; Výroba kovových výrobků, kromě strojů a zařízení; Výroba a distribuce páry; Opravy a údržba kovových výrobků, strojů a zařízení; Výroba chemických látek a chemických výrobků; Výroba a distribuce klimatizovaného vzduchu; Výroba klenotů a příbuzných výrobků; Silniční nákladní doprava; Specializované návrhářské činnosti; Výroba zámků a kování; Poskytování ubytování; Výroba oděvů; Činnosti reklamních agentur; Výroba strojů a zařízení j. n.; Nespecializovaný maloobchod	aktivní	ano	1991	Jablonec nad Nisou	46601	Jan Štiller; Jana Havlíčková; Lucie Karlová; Ludvík Karl; Lubomír Málek	00;23190;46750;69200;6820;7112;90020;56100;82110;35130;71209;93190;4120;46;52290;812;33200;32;432;4312;72;7219;855;257;35301;331;20;35302;32120;49410;74100;25620;55;14;73110;28;471	Jablonec nad Nisou	1991-03-18
250-499	s.r.o.	63144476	ATREA s.r.o.	Výroba elektronických součástek a desek; Výroba klimatizačních zařízení jiných než pro domácnost; Výstavba bytových a nebytových budov; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod s převahou potravin, nápojů a tabákových výrobků; Ubytování v hotelích a podobných ubytovacích zařízeních; Zprostředkování v oblasti nemovitostí; Inženýrské činnosti a související technické poradenství; Technické zkoušky a analýzy; Výzkum a vývoj v oblasti přírodních a technických věd; Výzkum a vývoj v oblasti přírodních a technických věd; Ostatní odborné, vědecké a technické činnosti j. n.; Ostatní vzdělávání j. n.	aktivní	ano	1995	Jablonec nad Nisou	46605	Taťána Morávková; Petr Morávek; Daniel Morávek	261;28250;4120;461;46900;47110;5510;68310;7112;71209;721;7219;74909;8559	Jablonec nad Nisou	1995-05-23
250-499	s.r.o.	60486414	A.RAYMOND JABLONEC s.r.o.	Výroba plastových výrobků; Nespecializovaný maloobchod	aktivní	ano	1994	Jablonec nad Nisou	46605	Tomáš Čermák	22290;471	Jablonec nad Nisou	1994-03-02
250-499	s.r.o.	47545674	TI GROUP AUTOMOTIVE SYSTEMS s.r.o.	Výroba pryžových výrobků; Výroba plastových výrobků; Povrchové úpravy a zušlechťování kovů; obrábění; Výroba kovových výrobků, kromě strojů a zařízení; Výroba motorových vozidel; Výroba ostatních dílů a příslušenství pro motorová vozidla; Nespecializovaný velkoobchod; Počítačové programování, poradenství a související činnosti; Poskytování počítačové infrastruktury, zpracování dat, hosting a ostatní informační činnosti; Poradenství v oblasti podnikání a řízení podniků; Překladatelské a tlumočnické činnosti	aktivní	ano	1994	Jablonec nad Nisou	46605	Jan Švec; Michal Pešík	221;222;25500;25720;29100;29320;46900;620;63;702;74300	Jablonec nad Nisou	1994-04-07
250-499	s.r.o.	26485648	TI Automotive AC s.r.o.	Výroba zámků a kování; Výroba ostatních strojů a zařízení pro všeobecné účely; Výroba ostatních strojů a zařízení pro všeobecné účely j. n.; Nespecializovaný velkoobchod; Poskytování počítačové infrastruktury, zpracování dat, hosting a ostatní informační činnosti; Poradenství v oblasti podnikání a řízení podniků; Překladatelské a tlumočnické činnosti	aktivní	ano	2001	Jablonec nad Nisou	46605	Jan Švec; Michal Pešík	25620;282;28290;46900;63;702;74300	Jablonec nad Nisou	2001-11-05
250-499	a.s.	28746503	Silnice LK a.s.	Podpůrné činnosti pro zemědělství a posklizňové činnosti; Výstavba bytových a nebytových budov; Výstavba silnic a dálnic; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Silniční nákladní doprava	aktivní	ano	2011	Jablonec nad Nisou	46605	Petr Správka; Zdeněk Sameš; Petr Finkous	016;4120;42110;461;46900;471;49410	Jablonec nad Nisou	2011-08-17
250-499	a.s.	28668715	JABLOTRON a.s.	Výroba elektronických součástek a desek; Výroba ostatních elektrických zařízení; Výroba lékařských a dentálních nástrojů a potřeb; Elektrické instalace; Velkoobchod s počítačovými a komunikačními zařízeními; Skladování; Účetnické a auditorské činnosti; daňové poradenství; Ostatní odborné, vědecké a technické činnosti; Pátrací a bezpečnostní činnosti; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ano	2008	Jablonec nad Nisou	46601	Dalibor Dědek; Tereza Nalezená	261;27900;32500;43210;46520;52100;69200;74;80;00	Jablonec nad Nisou	2008-08-01
250-499	a.s.	27354059	Vaše pekárna a.s.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba pekařských, cukrářských a jiných moučných výrobků; Destilace, rektifikace a míchaní lihovin; Nespecializovaný velkoobchod; Maloobchod s pekařskými a cukrářskými výrobky a cukrovinkami; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Administrativní a kancelářské činnosti; Zpracování a konzervování masa a výroba masných výrobků	aktivní	ano	2008	Jablonec nad Nisou	46601	Oldřich Šoba; Ivan Šnajdr; Marek Večeř	00;107;11010;46900;47240;56100;82110;101	Jablonec nad Nisou	2008-03-31
200-249	s.r.o.	62738542	Severočeské komunální služby s.r.o.	Činnosti související s odpadními vodami; Nespecializovaný maloobchod; Silniční nákladní doprava; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Sběr nebezpečných odpadů; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Pronájem a správa vlastních nebo pronajatých nemovitostí; Velkoobchod; Sběr odpadů, kromě nebezpečných; Úklidové činnosti	aktivní	ano	1995	Jablonec nad Nisou	46601	František Lufinka; Jaroslav Šída; Michal Plíšek; Petr Dierzé	37000;471;49410;016;38120;772;6820;46;38110;812	Jablonec nad Nisou	1995-03-01
200-249	s.r.o.	25424700	CMS - Conclusive Method of Solution, s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba ostatních elektrických zařízení; Kompletační a dokončovací stavební práce; Zprostředkování v oblasti velkoobchodu za provizi; Počítačové programování, poradenství a související činnosti; Pronájem a správa vlastních nebo pronajatých nemovitostí; Poradenství v oblasti podnikání a řízení podniků; Architektonické a inženýrské činnosti a související technické poradenství; Pátrací a bezpečnostní činnosti; Velkoobchod a maloobchod	aktivní	ano	2000	Jablonec nad Nisou	46602	Marta Dudová; Pavel Latislav	00;27900;433;461;620;6820;702;711;80;G	Jablonec nad Nisou	2000-12-20
100-199	s.r.o.	47309547	INTERNATIONAL METAL PLAST spol. s r.o.	Výroba plastových obalů; Výroba obalů z lehkých kovů	aktivní	ano	1992	Jablonec nad Nisou	46801	Libor Vaculík; Daniel Nývlt	22220;25920	Jablonec nad Nisou	1992-11-25
100-199	s.r.o.	41327535	LIGUM spol. s r.o.	Výroba pryžových výrobků; Výroba ostatních strojů pro speciální účely j. n.	aktivní	ano	1991	Jablonec nad Nisou	46605	Tomáš Pluhař; Jaroslav Pluhař	22190;28990	Jablonec nad Nisou	1991-09-11
100-199	s.r.o.	40233138	DEVINN s.r.o.	Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Inženýrské činnosti a související technické poradenství; Výzkum a vývoj v oblasti přírodních a technických věd; Elektroinstalační, instalatérské a ostatní stavebně instalační činnosti; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba konstrukčních kovových výrobků; Výroba motorových vozidel; Opravy a údržba kovových výrobků, strojů a zařízení; Výroba nožířských výrobků, nástrojů a železářských výrobků; Technické zkoušky a analýzy; Účetnické a auditorské činnosti; daňové poradenství; Opravy, údržba a instalace strojů a zařízení; Výroba strojů a zařízení j. n.; Opravy a údržba výrobků pro osobní potřebu a převážně pro domácnost; Ostatní vzdělávání; Počítačové programování, poradenství a související činnosti; Výroba zámků a kování; Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ano	1991	Jablonec nad Nisou	46601	Luboš Hajský	45200;46900;471;71129;7219;432;00;251;29100;331;256;71209;69200;33;28;952;855;620;25620;6820	Jablonec nad Nisou	1991-12-18
100-199	s.r.o.	27315827	C + C CIMBÁL s.r.o.	Ostatní zpracovatelský průmysl; Výstavba bytových a nebytových budov; Instalace rozvodů vody, odpadu, topení a klimatizace; Truhlářské práce; Ostatní specializované stavební činnosti j. n.; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod	aktivní	ano	2007	Jablonec nad Nisou	46601	Vladislav Cimbál; Pavel Cimbál	32;4120;43220;43320;4399;461;46900;471	Jablonec nad Nisou	2007-02-23
100-199	s.r.o.	27300404	SKI Bižu s.r.o.	Výroba sportovních potřeb; Zprostředkování v oblasti velkoobchodu za provizi; Ostatní pozemní osobní doprava j. n.; Ostatní pozemní osobní doprava j. n.; Architektonické a inženýrské činnosti a související technické poradenství; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Činnosti v oblasti sportu; Provozování sportovních zařízení	aktivní	ano	2006	Jablonec nad Nisou	46601	Pavel Bažant	32300;461;49391;49392;711;731;74;772;931;93110	Jablonec nad Nisou	2006-07-31
100-199	s.r.o.	25406311	CIKAUTXO CZ s.r.o.	Výroba pryžových výrobků; Nespecializovaný maloobchod; Ostatní činnosti v oblasti nemovitostí na základě smlouvy nebo dohody	aktivní	ano	1999	Jablonec nad Nisou	46801	Diego Seira Pueyo; Aitor Palacio Madariaga; Ismael Martinez Catala	22190;471;68320	Jablonec nad Nisou	1999-09-01
100-199	s.r.o.	25233009	AKT plastikářská technologie Čechy, spol. s r.o.	Výroba plastových výrobků; Výroba kovových výrobků, kromě strojů a zařízení	aktivní	ano	1999	Jablonec nad Nisou	46605	Adam Holewa; Josef Richter	222;25730	Jablonec nad Nisou	1999-05-24
100-199	s.r.o.	22800433	CMS - TOP s.r.o.	Demolice a příprava staveniště; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Počítačové programování, poradenství a související činnosti; Zprostředkování v oblasti nemovitostí; Inženýrské činnosti a související technické poradenství; Ostatní odborné, vědecké a technické činnosti j. n.; Pátrací a bezpečnostní činnosti; Pátrací a bezpečnostní činnosti; Pátrací a bezpečnostní činnosti; Úklidové činnosti	aktivní	ano	2012	Jablonec nad Nisou	46602	Emil Procházka; Marta Dudová	431;461;46900;471;620;68310;7112;7490;80100;80200;80300;812	Jablonec nad Nisou	2012-11-27
100-199	s.r.o.	07288387	RUBER Invest s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Skladování a podpůrné činnosti pro dopravu; Poskytování ubytování; Pronájem a správa vlastních nebo pronajatých nemovitostí; Činnosti reklamních agentur; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Úklidové činnosti; Administrativní a kancelářské činnosti	aktivní	ano	2018	Jablonec nad Nisou	46601	Daniel Hlávka	00;46900;471;52;55;6820;73110;772;812;82110	Jablonec nad Nisou	2018-07-26
100-199	s.r.o.	02989204	Chronicare s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba lékařských a dentálních nástrojů a potřeb; Zprostředkování v oblasti velkoobchodu za provizi; Počítačové programování, poradenství a související činnosti; Poradenství v oblasti podnikání a řízení podniků; Reklamní činnosti; Administrativní a kancelářské činnosti; Ostatní vzdělávání j. n.; Ostatní činnosti související se zdravotní péčí	aktivní	ne	2014	Praha	15500	Pavel Ondráček; Artur Lukša	00;3250;461;620;70220;731;821;8559;869		2014-05-12
100-199	a.s.	28737016	Česká mincovna, a.s.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba zámků a kování; Výroba kovových výrobků, kromě strojů a zařízení; Ražení mincí; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Technické zkoušky a analýzy	aktivní	ano	2010	Jablonec nad Nisou	46602	Michal Voborník	00;256;25620;25720;32110;46900;471;6820;71209	Jablonec nad Nisou	2010-12-10
100-199	a.s.	27353443	Náš chléb a.s.	Výroba pekařských a cukrářských výrobků, kromě trvanlivých; Nespecializovaný maloobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Administrativní a kancelářské činnosti; Nespecializovaný velkoobchod; Účetnické a auditorské činnosti; daňové poradenství	aktivní	ano	2008	Jablonec nad Nisou	46601	Oldřich Šoba; Ivan Šnajdr; Marek Večeř	10710;471;00;56100;82110;46900;69200	Jablonec nad Nisou	2008-03-31
100-199	a.s.	06812759	VINOLOK, a.s.	Výroba ostatních potravinářských výrobků j. n.; Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Výroba pryžových a plastových výrobků; Výroba ostatních nekovových minerálních výrobků; Výroba dutého skla; Výroba brusiv a ostatních nekovových minerálních výrobků j. n.; Výroba nožířských výrobků; Výroba neelektrických spotřebičů převážně pro domácnost; Ostatní zpracovatelský průmysl; Výroba klenotů a příbuzných výrobků; Sběr odpadů, kromě nebezpečných; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Skladování; Podpůrné činnosti pro dopravu; Zprostředkování v oblasti nemovitostí; Technické zkoušky a analýzy; Výzkum a vývoj v oblasti přírodních a technických věd; Ostatní odborné, vědecké a technické činnosti j. n.; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Opravy a údržba přístrojů a zařízení převážně pro domácnost, dům a zahradu	aktivní	ano	2018	Jablonec nad Nisou	46601	Aleš Urbánek; Radan Haiblík; Jiří Karl; António Rios De Amorim; Christophe René Fouquet; Marco André Gaspar Fontes E Castelo	10890;16100;22;23;23130;239;25610;27520;32;3212;38110;461;46900;471;52100;52290;68310;712;721;7490;77290;95220	Jablonec nad Nisou	2018-01-29
50-99	s.r.o.	64051501	VEDES, s.r.o.	Demolice a příprava staveniště; Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný maloobchod s převahou potravin, nápojů a tabákových výrobků; Silniční nákladní doprava; Stěhovací služby; Skladování a podpůrné činnosti pro dopravu; Podpůrné činnosti pro dopravu; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Technické zkoušky a analýzy	aktivní	ano	1995	Jablonec nad Nisou	46602	Rudolf Mála; Pavel Hušek; Pavel Sirůček	431;45200;47110;49410;49420;52;522;56100;7120	Jablonec nad Nisou	1995-11-16
50-99	s.r.o.	49099434	AG PLUS, spol. s r.o.	Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba bižuterie a příbuzných výrobků; Zprostředkování v oblasti velkoobchodu za provizi	aktivní	ano	1993	Jablonec nad Nisou	46602	Luboš Prchal; Kateřina Březovská; Jiří Odvárka	256;32130;461	Jablonec nad Nisou	1993-09-28
50-99	s.r.o.	40230767	Spectrum Franěk, s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba chemických látek a chemických výrobků; Sklenářské, malířské a natěračské práce; Silniční nákladní doprava; Velkoobchod s motocykly a jejich díly a příslušenstvím	aktivní	ano	1991	Jablonec nad Nisou	46605	Ivo Franěk; Lukas Franěk	00;20;43342;49410;46730	Jablonec nad Nisou	1991-12-03
50-99	s.r.o.	28686462	Putzteufel.cz, s.r.o., úklidový servis	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Sklenářské, malířské a natěračské práce; Výstavba bytových a nebytových budov; Všeobecný úklid budov	aktivní	ano	2008	Jablonec nad Nisou	46605	Pavel Musil	46900;471;00;6820;016;43342;4120;81210	Jablonec nad Nisou	2008-12-29
50-99	s.r.o.	27478831	Beads 4U, s.r.o.	Výroba oděvů; Ostatní zpracovatelský průmysl; Zprostředkování v oblasti velkoobchodu za provizi; Úklidové činnosti; Velkoobchod a maloobchod	aktivní	ano	2005	Jablonec nad Nisou	46601	Pavel Vrba	14;32;461;81290;G	Jablonec nad Nisou	2005-08-16
50-99	s.r.o.	25490885	TERMIL s.r.o.	Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Výstavba bytových a nebytových budov; Pronájem a správa vlastních nebo pronajatých nemovitostí; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Ostatní vzdělávání; Silniční nákladní doprava; Sběr odpadů, kromě nebezpečných; Příprava staveniště; Nespecializovaný maloobchod; Úklidové činnosti; Velkoobchod; Architektonické činnosti	aktivní	ano	2004	Jablonec nad Nisou	46605	Libor Milota; Tomáš Holba	772;4120;6820;00;855;49410;38110;43120;471;812;46;71110	Jablonec nad Nisou	2004-07-08
50-99	s.r.o.	25479334	Alfred Engelmann CZ, spol. s r.o.	Odlévání kovů; Výroba zámků a kování; Ostatní zpracovatelský průmysl	aktivní	ano	2003	Jablonec nad Nisou	46601	Jaroslav Janoušek	245;25620;32	Jablonec nad Nisou	2003-12-12
50-99	s.r.o.	25401637	KOVONEX, spol. s r.o.	Výroba pryžových a plastových výrobků; Výroba kovových konstrukcí a jejich dílů; Výroba ostatních dílů a příslušenství pro motorová vozidla; Sběr odpadů, kromě nebezpečných; Sběr nebezpečných odpadů; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Architektonické a inženýrské činnosti a související technické poradenství; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Úklidové činnosti	aktivní	ano	1999	Jablonec nad Nisou	46601	Rudolf Nemetschke	22;25110;29320;38110;38120;461;46900;471;711;77290;812	Jablonec nad Nisou	1999-04-23
50-99	s.r.o.	14868679	UNITHERM, s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Odlévání lehkých kovů; Výroba konstrukčních kovových výrobků; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba zámků a kování; Výroba kovových výrobků, kromě strojů a zařízení; Výroba počítačů a elektronických a optických přístrojů a zařízení; Výroba elektronických součástek a desek; Výroba strojů a zařízení j. n.; Sběr odpadů, kromě nebezpečných; Příprava staveniště; Instalace rozvodů vody, odpadu, topení a klimatizace; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Počítačové programování, poradenství a související činnosti; Pronájem a správa vlastních nebo pronajatých nemovitostí; Inženýrské činnosti a související technické poradenství; Technické zkoušky a analýzy; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Úklidové činnosti; Opravy a údržba přístrojů a zařízení převážně pro domácnost, dům a zahradu	aktivní	ano	1991	Jablonec nad Nisou	46604	Martin Bien; Miroslav Bien	00;24530;251;256;25620;257;26;261;28;38110;43120;43220;46900;471;620;6820;7112;712;772;812;95220	Jablonec nad Nisou	1991-03-06
50-99	s.r.o.	14367963	Alutex-slévárna Al, s.r.o.	Výroba surového železa, oceli a feroslitin; Odlévání kovů; Výroba zámků a kování; Odlévání lehkých kovů	aktivní	ano	2022	Jablonec nad Nisou	46605	Jaroslav Janoušek	241;245;25620;24530	Jablonec nad Nisou	2022-03-22
50-99	s.r.o.	04786645	JABLOTRON CLOUD Services s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba elektronických součástek a desek; Výroba elektrických zařízení; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Počítačové programování, poradenství a související činnosti; Ostatní vzdělávání	aktivní	ano	2016	Jablonec nad Nisou	46601	Dalibor Dědek; Tereza Nalezená	00;261;27;46900;471;62090;855	Jablonec nad Nisou	2016-02-05
50-99	a.s.	44569777	PREGIS, a.s.	Opravy a údržba kovových výrobků, strojů a zařízení; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Počítačové programování, poradenství a související činnosti; Velkoobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Opravy a údržba výrobků pro osobní potřebu a převážně pro domácnost; Nespecializovaný maloobchod; Poskytování počítačové infrastruktury, zpracování dat, hosting a ostatní informační činnosti; Ostatní vzdělávání; Úklidové činnosti	aktivní	ano	1992	Jablonec nad Nisou	46601	Roman Karpíšek; Ivana Pušová; Martin Dušek	331;56100;62020;46;00;772;952;471;63;855;812	Jablonec nad Nisou	1992-05-01
50-99	a.s.	04742761	Hnídek Transport a.s.	Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Sběr odpadů, kromě nebezpečných; Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Silniční nákladní doprava; Podpůrné činnosti pro dopravu; Pronájem a správa vlastních nebo pronajatých nemovitostí; Technické zkoušky a analýzy; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Úklidové činnosti; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba nožířských výrobků, nástrojů a železářských výrobků; Skladování a podpůrné činnosti pro dopravu; Ostatní vzdělávání	aktivní	ano	2016	Jablonec nad Nisou	46604	Tomáš Hnídek; Tomáš Šilhánek; Stanislav Havelka	16100;38110;45200;46900;471;47790;49410;52290;6820;71209;77290;81290;00;256;52;855	Jablonec nad Nisou	2016-01-25
50-99	a.s.	00480835	SOLITER, a.s.	Výroba a hutní zpracování drahých kovů; Odlévání kovů; Výroba nožířských výrobků; Výroba klenotů a příbuzných výrobků; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Sběr nebezpečných odpadů; Velkoobchod; Skladování a podpůrné činnosti pro dopravu; Výroba nožířských výrobků, nástrojů a železářských výrobků; Technické zkoušky a analýzy	aktivní	ano	1991	Jablonec nad Nisou	46601	Lenka Zikešová; Milan Klinke	24410;245;25610;32120;471;47790;38120;46;52;256;71209	Jablonec nad Nisou	1991-03-18
25-49	s.r.o.	62740687	AUTOSLUŽBY PAVLIŠTA s.r.o.	Destilace, rektifikace a míchaní lihovin; Sběr nebezpečných odpadů; Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný velkoobchod; Maloobchod s pohonnými hmotami; Ostatní pozemní osobní doprava j. n.; Silniční nákladní doprava; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Výroba pryžových a plastových výrobků; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Příprava staveniště; Nespecializovaný maloobchod; Živočišná výroba; Výroba chemických látek a chemických výrobků; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ano	1995	Jablonec nad Nisou	46601	Stanislav Pavlišta; Stanislav Ondřej Pavlišta	11010;38120;45200;46900;47300;49393;49410;56100;22;77290;43120;471;01493;20;00	Jablonec nad Nisou	1995-03-13
25-49	s.r.o.	49901991	GEOSA, spol. s r.o.	Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Maloobchod; Výstavba bytových a nebytových budov; Výroba kovových výrobků, kromě strojů a zařízení; Kompletační a dokončovací stavební práce; Instalace průmyslových strojů a zařízení; Poskytování ubytování; Velkoobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ano	1994	Jablonec nad Nisou	46601	Lukáš Sedláček; Petr Sedláček	77290;47;4120;257;433;33200;55;46;00	Jablonec nad Nisou	1994-01-01
25-49	s.r.o.	49101820	ALFEX-ČECHY, společnost s ručením omezeným	Elektrické instalace; Nespecializovaný maloobchod s převahou potravin, nápojů a tabákových výrobků; Technické zkoušky a analýzy; Pronájem a leasing osobních automobilů a lehkých motorových vozidel	aktivní	ano	1993	Jablonec nad Nisou	46605	Milan Bagačka; Jaroslav Strnad	43210;47110;7120;77110	Jablonec nad Nisou	1993-11-05
25-49	s.r.o.	48269972	LG - DINEX spol. s r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Lov a odchyt divokých zvířat a související činnosti; Pěstování lesa a jiné činnosti v oblasti lesnictví; Podpůrné činnosti pro lesnictví; Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Výroba plastových dveří a oken; Výroba skla a skleněných výrobků; Výroba konstrukčních kovových výrobků; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba nábytku; Sběr odpadů, kromě nebezpečných; Výstavba bytových a nebytových budov; Příprava staveniště; Kompletační a dokončovací stavební práce; Truhlářské práce; Sklenářské, malířské a natěračské práce; Zednické práce; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Poskytování ubytování; Pronájem a správa vlastních nebo pronajatých nemovitostí; Specializované návrhářské činnosti; Fotografické činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Úklidové činnosti	aktivní	ano	1993	Jablonec nad Nisou	46804	Václav Langr; Jiřina Langrová	00;016;01700;02100;02400;16100;22230;231;251;256;310;38110;4120;43120;433;43320;43341;43910;46900;471;47790;55;6820;74100;74200;772;812	Jablonec nad Nisou	1993-04-28
25-49	s.r.o.	41327837	ŠEBESTA VHS s.r.o.	Inženýrské činnosti a související technické poradenství; Pronájem a správa vlastních nebo pronajatých nemovitostí; Nespecializovaný velkoobchod; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný maloobchod; Výstavba inženýrských sítí pro kapaliny a plyny	aktivní	ano	1991	Jablonec nad Nisou	46604	Vladimír Šebesta	7112;6820;46900;77290;00;471;4221	Jablonec nad Nisou	1991-07-26
25-49	s.r.o.	40229955	DO JIZEREK, s.r.o.	Ostatní specializované stavební činnosti j. n.; Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s nápoji; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti j. n.; Činnosti cestovních agentur; Ostatní vzdělávání j. n.	aktivní	ano	1991	Jablonec nad Nisou	46606	Ivo Konečný	4399;461;46900;471;4725;56100;731;7490;79110;8559	Jablonec nad Nisou	1991-12-12
25-49	s.r.o.	28705262	JBX Promotion s.r.o.	Zprostředkování v oblasti velkoobchodu za provizi; Nespecializovaný velkoobchod; Maloobchod; Poradenství v oblasti podnikání a řízení podniků; Reklamní činnosti; Ostatní odborné, vědecké a technické činnosti	aktivní	ano	2009	Jablonec nad Nisou	46602	Milan Kohout	461;46900;47;702;731;74	Jablonec nad Nisou	2009-08-04
